ID,Group,Treatment,Replicate,Pairing date,Pair ID,Day egg laid,Date egg laid,Date of measure,Devt time,males,females,Total,Comments
F-F-1-1,F-F-1,F-F,1,01-Feb-24,1,0,01-Feb-24,21-Feb-24,20,3,1,4,NA
F-F-1-2,F-F-1,F-F,1,01-Feb-24,2,0,01-Feb-24,21-Feb-24,20,0,0,0,NA
F-F-1-3,F-F-1,F-F,1,01-Feb-24,3,0,01-Feb-24,21-Feb-24,20,1,0,1,NA
F-F-1-4,F-F-1,F-F,1,01-Feb-24,4,0,01-Feb-24,21-Feb-24,20,1,0,1,NA
F-F-1-5,F-F-1,F-F,1,01-Feb-24,5,0,01-Feb-24,21-Feb-24,20,0,0,0,NA
F-F-1-6,F-F-1,F-F,1,01-Feb-24,6,0,01-Feb-24,21-Feb-24,20,0,1,1,NA
F-F-1-7,F-F-1,F-F,1,01-Feb-24,7,0,01-Feb-24,21-Feb-24,20,1,0,1,NA
F-F-1-8,F-F-1,F-F,1,01-Feb-24,8,0,01-Feb-24,21-Feb-24,20,0,0,0,NA
F-F-1-9,F-F-1,F-F,1,01-Feb-24,9,0,01-Feb-24,21-Feb-24,20,11,0,11,NA
F-F-1-10,F-F-1,F-F,1,01-Feb-24,10,0,01-Feb-24,21-Feb-24,20,3,0,3,NA
F-F-1-11,F-F-1,F-F,1,01-Feb-24,11,0,01-Feb-24,21-Feb-24,20,2,0,2,NA
F-F-1-12,F-F-1,F-F,1,01-Feb-24,12,0,01-Feb-24,21-Feb-24,20,0,0,0,NA
F-F-1-13,F-F-1,F-F,1,01-Feb-24,13,0,01-Feb-24,21-Feb-24,20,1,0,1,NA
F-F-1-14,F-F-1,F-F,1,01-Feb-24,14,0,01-Feb-24,21-Feb-24,20,1,0,1,NA
F-F-1-15,F-F-1,F-F,1,01-Feb-24,15,0,01-Feb-24,21-Feb-24,20,3,0,3,NA
F-F-1-16,F-F-1,F-F,1,01-Feb-24,16,0,01-Feb-24,21-Feb-24,20,2,4,6,NA
F-F-1-17,F-F-1,F-F,1,01-Feb-24,17,0,01-Feb-24,21-Feb-24,20,0,0,0,NA
F-F-1-18,F-F-1,F-F,1,01-Feb-24,18,0,01-Feb-24,21-Feb-24,20,0,1,1,NA
F-F-1-19,F-F-1,F-F,1,01-Feb-24,19,0,01-Feb-24,21-Feb-24,20,1,1,2,NA
F-F-1-20,F-F-1,F-F,1,01-Feb-24,20,0,01-Feb-24,21-Feb-24,20,0,0,0,NA
F-F-1-21,F-F-1,F-F,1,01-Feb-24,21,0,01-Feb-24,21-Feb-24,20,1,0,1,NA
F-F-1-22,F-F-1,F-F,1,01-Feb-24,22,0,01-Feb-24,21-Feb-24,20,2,0,2,NA
F-F-1-23,F-F-1,F-F,1,01-Feb-24,23,0,01-Feb-24,21-Feb-24,20,0,2,2,NA
F-F-1-24,F-F-1,F-F,1,01-Feb-24,24,0,01-Feb-24,21-Feb-24,20,1,0,1,NA
F-F-1-25,F-F-1,F-F,1,01-Feb-24,25,0,01-Feb-24,21-Feb-24,20,2,0,2,NA
F-F-1-26,F-F-1,F-F,1,01-Feb-24,26,0,01-Feb-24,21-Feb-24,20,1,0,1,NA
F-F-1-27,F-F-1,F-F,1,01-Feb-24,27,0,01-Feb-24,21-Feb-24,20,0,0,0,NA
